存储方式,数据记录条数,数据集初始状态,排序方式,排序用时,时间
结构体数组,100000条,正序,快速排序,0.003000秒,5月25日16时12分37秒-2022年
结构体数组,100000条,逆序,快速排序,0.004000秒,5月25日16时13分21秒-2022年
结构体数组,100000条,乱序,快速排序,0.009000秒,5月25日16时13分43秒-2022年
结构体数组,100000条,正序,冒泡排序,6.488000秒,5月25日16时14分21秒-2022年
结构体数组,100000条,逆序,冒泡排序,14.534000秒,5月25日16时15分6秒-2022年
结构体数组,100000条,乱序,冒泡排序,20.814000秒,5月25日16时15分57秒-2022年
指针数组,100000条,正序,快速排序,0.005000秒,5月25日16时16分25秒-2022年
指针数组,100000条,逆序,快速排序,0.008000秒,5月25日16时16分47秒-2022年
指针数组,100000条,乱序,快速排序,0.013000秒,5月25日16时22分6秒-2022年
指针数组,100000条,正序,冒泡排序,18.068000秒,5月25日16时23分31秒-2022年
指针数组,100000条,逆序,冒泡排序,43.749000秒,5月25日16时45分53秒-2022年
指针数组,100000条,乱序,冒泡排序,36.192000秒,5月25日16时47分3秒-2022年
二维数组,100000条,正序,快速排序,0.002000秒,5月25日16时51分52秒-2022年
二维数组,100000条,逆序,快速排序,0.004000秒,5月25日16时52分35秒-2022年
二维数组,100000条,乱序,快速排序,0.009000秒,5月25日16时53分16秒-2022年
二维数组,100000条,乱序,快速排序,0.009000秒,5月25日16时53分47秒-2022年
二维数组,100000条,正序,冒泡排序,8.183000秒,5月25日16时54分18秒-2022年
二维数组,100000条,逆序,冒泡排序,21.212000秒,5月25日16时54分59秒-2022年
二维数组,100000条,乱序,冒泡排序,27.955000秒,5月25日16时56分14秒-2022年
链表,100000条,正序,冒泡排序,129.174000秒,5月25日17时1分26秒-2022年
链表,100000条,逆序,冒泡排序,154.876000秒,5月25日17时8分50秒-2022年
链表,100000条,乱序,冒泡排序,99.912000秒,5月25日17时11分56秒-2022年
